Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1817,129,2941,1617,1618,0,1,1969,173
23,0,0,1733,119,2941,1617,1618,0,1,1969,140
23,0,0,1733,119,2941,1617,1618,0,1,1969,140
23,0,0,1733,119,2941,1617,1618,0,1,1969,140
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1628,1629,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1825,129,2941,1617,1618,0,1,1969,173
23,0,0,1486,109,2647,1546,1533,0,1,1969,140
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1448,99,2646,1552,1540,0,1,1969,88
23,0,0,1437,101,2647,1546,1533,0,1,1969,110
23,0,0,1437,101,2647,1546,1533,0,1,1969,110
23,0,0,1437,101,2647,1546,1533,0,1,1969,110
23,0,0,1437,101,2647,1546,1533,0,1,1969,110
23,0,0,1453,104,2647,1551,1538,0,1,1969,110
23,0,0,1453,104,2647,1551,1538,0,1,1969,110
23,0,0,1453,104,2647,1546,1533,0,1,1969,110
23,0,0,1453,104,2647,1546,1533,0,1,1969,110
23,0,0,1453,104,2647,1546,1533,0,1,1969,110
23,0,0,1442,128,2647,1551,1538,2,1,1969,140
23,0,0,1442,128,2647,1546,1533,2,1,1969,140
23,0,0,1453,101,2647,1546,1533,0,1,1969,88
23,0,0,1453,101,2647,1546,1533,0,1,1969,88
23,0,0,1453,101,2647,1551,1538,0,1,1969,88
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1551,1538,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1546,1533,2,1,1498,112
23,0,0,1435,129,2647,1551,1538,2,1,1498,112
23,0,0,1435,129,2647,1551,1538,2,1,1498,90
23,0,0,1431,127,2647,1546,1533,2,1,1969,90
