Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
VOLVO,M1,M1,1431,127,2647,1546,1533,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1551,1538,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1551,1538,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1546,1533,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1546,1533,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1546,1533,PETROL,M,1969,90
VOLVO,M1,M1,1431,127,2647,1546,1533,PETROL,M,1969,90
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1035,104,2538,1470,1470,PETROL,M,1199,60
PEUGEOT,M1,M1,1135,99,2538,1470,1470,PETROL,M,1199,81
PEUGEOT,M1,M1,1135,99,2538,1470,1470,PETROL,M,1199,81
PEUGEOT,M1,M1,1135,99,2538,1470,1470,PETROL,M,1199,81
PEUGEOT,M1,M1,1135,99,2538,1470,1470,PETROL,M,1199,81
PEUGEOT,M1,M1,1135,99,2538,1470,1470,PETROL,M,1199,81
PEUGEOT,M1,M1,1150,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1,M1,1150,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1,M1,1150,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1,M1,1150,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1,M1,1150,90,2538,1470,1470,DIESEL,M,1560,55
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
PEUGEOT,M1,M1,1035,108,2538,1470,1470,PETROL,M,1199,50
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1505,134,2712,1574,1577,PETROL,M,1618,151
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,66
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,66
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1395,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1443,98,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1443,98,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1387,95,2712,1580,1583,DIESEL,M,1461,81
RENAULT,M1,M1,1394,100,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1394,100,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1394,100,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1394,100,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1394,100,2712,1574,1577,DIESEL,M,1461,81
RENAULT,M1,M1,1469,103,2712,1580,1583,DIESEL,M,1598,96
RENAULT,M1,M1,1469,103,2712,1580,1583,DIESEL,M,1598,96
RENAULT,M1,M1,1469,103,2712,1580,1583,DIESEL,M,1598,96
RENAULT,M1,M1,1469,103,2712,1580,1583,DIESEL,M,1598,96
RENAULT,M1,M1,1469,103,2712,1580,1583,DIESEL,M,1598,96
