,Country,ID,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
120,BE,1195309,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
121,BE,1195315,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
122,BE,1195324,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
123,BE,1195334,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
124,BE,1195342,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
125,BE,1195350,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
126,BE,1195360,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
127,BE,1195370,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
128,BE,1195377,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
129,BE,1195385,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
130,BE,1195395,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
131,BE,1195404,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
132,BE,1195413,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
133,BE,1195422,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
134,BE,1195428,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
135,BE,1195436,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
136,BE,1195446,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
137,BE,1195451,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
138,BE,1195461,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
139,BE,1195472,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
140,BE,1195481,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
141,BE,1195490,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
142,BE,1195499,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
143,BE,1195509,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
144,BE,1195515,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
