,ID,MS,Mp,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Enedc (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
438,1195160,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
439,1195167,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
440,1195175,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
441,1195183,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
442,1195192,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
443,1195198,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
444,1195203,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
445,1195213,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
446,1195221,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
447,1195226,BE,RENAULT,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*03,RFB,KH2,A3A62A010000,RENAULT,MEGANE,M1,M1,1395.0,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
