ID,Mk,Category Type Approved,Category Registered,Ft,Fm
2095229,SEAT,M1,M1,PETROL,M
2095198,SEAT,M1,M1,PETROL,M
2095237,SEAT,M1,M1,PETROL,M
2095215,SEAT,M1,M1,PETROL,M
2095208,SEAT,M1,M1,PETROL,M
2095221,SEAT,M1,M1,PETROL,M
2095257,SEAT,M1,M1,PETROL,M
4003747,SEAT,M1,M1,PETROL,M
4003740,SEAT,M1,M1,PETROL,M
4003733,SEAT,M1,M1,PETROL,M
4003725,SEAT,M1,M1,PETROL,M
4003719,SEAT,M1,M1,PETROL,M
4003712,SEAT,M1,M1,PETROL,M
4003705,SEAT,M1,M1,PETROL,M
4003690,SEAT,M1,M1,PETROL,M
4003803,SEAT,M1,M1,PETROL,M
4003699,SEAT,M1,M1,PETROL,M
4003754,SEAT,M1,M1,PETROL,M
4003760,SEAT,M1,M1,PETROL,M
4003768,SEAT,M1,M1,PETROL,M
4003775,SEAT,M1,M1,PETROL,M
4003782,SEAT,M1,M1,PETROL,M
4003796,SEAT,M1,M1,PETROL,M
4003810,SEAT,M1,M1,PETROL,M
4003817,SEAT,M1,M1,PETROL,M
4003824,SEAT,M1,M1,PETROL,M
4003831,SEAT,M1,M1,PETROL,M
4003685,SEAT,M1,M1,PETROL,M
4003789,SEAT,M1,M1,PETROL,M
4003838,SEAT,M1,M1,PETROL,M
4003539,SEAT,M1,M1,PETROL,M
4003545,SEAT,M1,M1,PETROL,M
4003552,SEAT,M1,M1,PETROL,M
4003558,SEAT,M1,M1,PETROL,M
4003565,SEAT,M1,M1,PETROL,M
4003571,SEAT,M1,M1,PETROL,M
4003578,SEAT,M1,M1,PETROL,M
4003583,SEAT,M1,M1,PETROL,M
4003589,SEAT,M1,M1,PETROL,M
4003602,SEAT,M1,M1,PETROL,M
4003596,SEAT,M1,M1,PETROL,M
4003678,SEAT,M1,M1,PETROL,M
4003609,SEAT,M1,M1,PETROL,M
4003616,SEAT,M1,M1,PETROL,M
4003622,SEAT,M1,M1,PETROL,M
4003631,SEAT,M1,M1,PETROL,M
4003637,SEAT,M1,M1,PETROL,M
4003644,SEAT,M1,M1,PETROL,M
4003650,SEAT,M1,M1,PETROL,M
4003657,SEAT,M1,M1,PETROL,M
4003666,SEAT,M1,M1,PETROL,M
4003671,SEAT,M1,M1,PETROL,M
4003943,SEAT,M1,M1,PETROL,M
4002710,SEAT,M1,M1,PETROL,M
4003927,SEAT,M1,M1,PETROL,M
4004017,SEAT,M1,M1,PETROL,M
4004024,SEAT,M1,M1,PETROL,M
4004030,SEAT,M1,M1,PETROL,M
4004037,SEAT,M1,M1,PETROL,M
4004045,SEAT,M1,M1,PETROL,M
4004052,SEAT,M1,M1,PETROL,M
4004059,SEAT,M1,M1,PETROL,M
4004064,SEAT,M1,M1,PETROL,M
4004002,SEAT,M1,M1,PETROL,M
4002716,SEAT,M1,M1,PETROL,M
4003995,SEAT,M1,M1,PETROL,M
4002703,SEAT,M1,M1,PETROL,M
4002697,SEAT,M1,M1,PETROL,M
4002691,SEAT,M1,M1,PETROL,M
4002685,SEAT,M1,M1,PETROL,M
4002679,SEAT,M1,M1,PETROL,M
4002673,SEAT,M1,M1,PETROL,M
4002667,SEAT,M1,M1,PETROL,M
4002661,SEAT,M1,M1,PETROL,M
4002655,SEAT,M1,M1,PETROL,M
4004070,SEAT,M1,M1,PETROL,M
4003532,SEAT,M1,M1,PETROL,M
4003851,SEAT,M1,M1,PETROL,M
4003858,SEAT,M1,M1,PETROL,M
4003865,SEAT,M1,M1,PETROL,M
4003872,SEAT,M1,M1,PETROL,M
4003879,SEAT,M1,M1,PETROL,M
4003886,SEAT,M1,M1,PETROL,M
4003893,SEAT,M1,M1,PETROL,M
4003898,SEAT,M1,M1,PETROL,M
4003907,SEAT,M1,M1,PETROL,M
4004010,SEAT,M1,M1,PETROL,M
4003920,SEAT,M1,M1,PETROL,M
4003844,SEAT,M1,M1,PETROL,M
4003932,SEAT,M1,M1,PETROL,M
4003440,SEAT,M1,M1,PETROL,M
4003949,SEAT,M1,M1,PETROL,M
4003955,SEAT,M1,M1,PETROL,M
4003961,SEAT,M1,M1,PETROL,M
4003968,SEAT,M1,M1,PETROL,M
4003976,SEAT,M1,M1,PETROL,M
4003983,SEAT,M1,M1,PETROL,M
4003989,SEAT,M1,M1,PETROL,M
4003914,SEAT,M1,M1,PETROL,M
4003048,SEAT,M1,M1,PETROL,M
4002958,SEAT,M1,M1,PETROL,M
4002966,SEAT,M1,M1,PETROL,M
4002974,SEAT,M1,M1,PETROL,M
4002981,SEAT,M1,M1,PETROL,M
4002989,SEAT,M1,M1,PETROL,M
