,ID,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Engine Capacity (cm3),Engine Power (KW)
204,4317803,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
205,4317866,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
206,4317816,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
207,4317935,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
208,4318988,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
209,4317510,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
210,4319026,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
211,4319019,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
212,4317528,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
213,4319010,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
214,4318162,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
215,4318111,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
216,4317700,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
217,4317487,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
218,4317578,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
219,4318980,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
220,4317595,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
221,4318591,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
222,4318964,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
223,4318139,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
224,4318129,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
225,4317549,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
226,4317123,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
227,4317116,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
228,4317170,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
229,4319330,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
230,4319491,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
231,4319294,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
232,4317155,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
233,4319483,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
234,4319277,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
235,4319402,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
236,4317137,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
237,4319314,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
238,4319322,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
239,4319411,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
240,4319370,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
241,4317130,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
242,2095249,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
243,2095243,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
244,2095229,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
245,2095198,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
246,2095237,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
247,2095215,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
248,2095208,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
249,2095221,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
250,2095257,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
251,4003747,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
252,4003740,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
253,4003733,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
254,4003725,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
255,4003719,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
256,4003712,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
257,4003705,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
258,4003690,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
259,4003803,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
260,4003699,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
261,4003754,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
262,4003760,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
263,4003768,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
264,4003775,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
265,4003782,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
266,4003796,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
267,4003810,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
268,4003817,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
269,4003824,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
270,4003831,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
271,4003685,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
272,4003789,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
273,4003838,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
274,4003539,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
275,4003545,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
276,4003552,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
277,4003558,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
278,4003565,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
279,4003571,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
280,4003578,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
281,4003583,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
282,4003589,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
283,4003602,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
284,4003596,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
285,4003678,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
286,4003609,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
287,4003616,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
288,4003622,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
289,4003631,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
290,4003637,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
291,4003644,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
292,4003650,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
293,4003657,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
294,4003666,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
295,4003671,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
296,4003943,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
297,4002710,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
298,4003927,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
299,4004017,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
300,4004024,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
301,4004030,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
302,4004037,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
303,4004045,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
304,4004052,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
305,4004059,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
306,4004064,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
307,4004002,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
308,4002716,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
309,4003995,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
310,4002703,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
311,4002697,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
312,4002691,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
313,4002685,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
314,4002679,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
315,4002673,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
316,4002667,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
317,4002661,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
318,4002655,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
319,4004070,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
320,4003532,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
321,4003851,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
322,4003858,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
323,4003865,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
324,4003872,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
325,4003879,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
326,4003886,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
327,4003893,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
328,4003898,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
329,4003907,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
330,4004010,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
331,4003920,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
332,4003844,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
333,4003932,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
334,4003440,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
335,4003949,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
336,4003955,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
337,4003961,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
338,4003968,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
339,4003976,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
340,4003983,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
341,4003989,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
342,4003914,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
343,4003048,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
344,4002958,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
345,4002966,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
346,4002974,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
347,4002981,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
348,4002989,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
349,4002999,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
350,4003007,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
351,4003015,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
352,4003023,1089.0,116.0,2469.0,1465.0,1457.0,1197.0,66.0
